Ticker,Actural,Estimated,Released
MCD,1.72,1.733,2017-07-25T16:00:00
MCHP,0.16,0.2197,2016-11-07T16:00:00
MCK,1.36,2.94,2016-10-27T16:00:00
MCO,1.63,1.51,2017-07-21T16:00:00
MCY,0.93,0.68,2017-07-31T16:00:00
MD,0.69,0.6863,2017-07-28T16:00:00
MDLZ,0.33,0.48,2017-08-02T16:00:00
MDT,0.81,1.12,2016-11-22T16:00:00
MDU,0.21,0.2235,2017-08-01T16:00:00
MET,0.81,1.3,2017-08-02T16:00:00
MFA,0.2,0.1872,2017-08-02T16:00:00
MGM,0.36,0.3418,2017-07-27T16:00:00
MHK,3.51,3.72,2017-07-27T16:00:00
MIC,0.32,0.32,2017-08-02T16:00:00
MIDD,1.35,1.3938,2017-08-09T16:00:00
MKC,0.8,0.82,2017-06-29T16:00:00
MKL,10.34,9.4915,2017-07-26T16:00:00
MKSI,2.22,1.41,2017-07-25T16:00:00
MKTX,1.03,0.9986,2017-07-26T16:00:00
MLM,2.26,2.0945,2017-08-01T16:00:00
MMC,0.98,1,2017-07-27T16:00:00
MMM,2.65,2.58,2017-07-25T16:00:00
MNST,0.39,0.3854,2017-08-08T16:00:00
MO,1.03,0.85,2017-07-27T16:00:00
MOH,-4.1,-4.01,2017-08-02T16:00:00
MORN,1.07,0.6454,2017-07-25T16:00:00
MOS,0.28,0.2906,2017-08-01T16:00:00
MPC,0.94,1.0238,2017-07-27T16:00:00
MPW,0.21,0.2128,2017-08-09T16:00:00
MPWR,0.36,0.3503,2017-07-26T16:00:00
MRK,0.71,1.01,2017-07-28T16:00:00
MRO,-0.16,-0.24,2017-08-02T16:00:00
MS,0.89,0.87,2017-07-19T16:00:00
MSCI,0.9,0.95,2017-08-03T16:00:00
MSFT,0.81,0.84,2017-01-26T16:00:00
MSG,2.41,2.391,2017-02-03T16:00:00
MSI,0.8,0.8751,2017-08-03T16:00:00
MSM,0.94,0.9361,2017-04-06T16:00:00
MTB,2.36,2.35,2017-07-19T16:00:00
MTCH,0.2,0.1742,2017-08-02T16:00:00
MTD,3.94,3.92,2017-07-27T16:00:00
MTN,3.72,3.6691,2017-03-10T16:00:00
MU,0.81,0.8531,2017-03-23T16:00:00
MUR,-0.1,-0.11,2017-08-02T16:00:00
MXIM,0.46,0.46,2017-01-26T16:00:00
MYL,0.56,1.1,2017-08-09T16:00:00
NATI,0.19,0.2249,2017-07-27T16:00:00
NAVI,0.4,0.43,2017-07-18T16:00:00
NBIX,-0.68,-0.68,2017-08-03T16:00:00
NBL,-3.2,0.05,2017-08-03T16:00:00
NBR,-0.46,-0.41,2017-08-02T16:00:00
NCLH,0.87,1.02,2017-08-08T16:00:00
NCR,0.74,0.8,2017-07-20T16:00:00
